id,code,species,prop_slow_decomp,prop_gymn,No_species,species_richness,mesh_size,size_mesh,Time,Time_month,initial weight,plot,f_weight_with_envelope,Envelope_weight,f_weight,mass_loss_g,percent_ml,percent_eml,remaining_mass,perc_mass,mass_loss_prop,fast_species,slow_species,mixture,litter_type
1,A,Kp,0,0,1,1,0.07 mm,S,1,one month,9.325,R1,13.71,5.605,8.105,1.22,13.08310992,N/A,86.91689008,0.869168901,0.130831099,1,0,0,fast
1,A,Kp,0,0,1,1,0.07 mm,S,3,three months,9.325,R1,13.71,5.605,8.105,1.22,13.08310992,N/A,86.91689008,0.869168901,0.130831099,1,0,0,fast
1,A,Kp,0,0,1,1,0.07 mm,S,6,six months,9.325,R1,13.19,5.605,7.585,1.74,18.65951743,N/A,81.34048257,0.813404826,0.186595174,1,0,0,fast
1,A,Kp,0,0,1,1,2.0 mm,M,1,one month,9.325,R1,13.66,5.605,8.055,1.27,13.61930295,N/A,86.38069705,0.863806971,0.13619303,1,0,0,fast
1,A,Kp,0,0,1,1,2.0 mm,M,3,three months,9.325,R1,13.09,5.605,7.485,1.84,19.73190349,N/A,80.26809651,0.802680965,0.197319035,1,0,0,fast
1,A,Kp,0,0,1,1,2.0 mm,M,6,six months,9.325,R1,12.3,5.605,6.695,2.63,28.20375335,N/A,71.79624665,0.717962467,0.282037534,1,0,0,fast
1,A,Kp,0,0,1,1,5.0 mm,L,1,one month,9.325,R1,13.85,5.605,8.245,1.08,11.58176944,N/A,88.41823056,0.884182306,0.115817694,1,0,0,fast
1,A,Kp,0,0,1,1,5.0 mm,L,3,three months,9.325,R1,13.42,5.605,7.815,1.51,16.19302949,N/A,83.80697051,0.838069705,0.161930295,1,0,0,fast
1,A,Kp,0,0,1,1,5.0 mm,L,6,six months,9.325,R1,12.24,5.605,6.635,2.69,28.84718499,N/A,71.15281501,0.71152815,0.28847185,1,0,0,fast
2,AB,"Kp, Qc",0,0,2,2,0.07 mm,S,1,one month,9.335,R1,14.31,5.605,8.705,0.63,6.748794858,9.267370032,93.25120514,0.932512051,0.067487949,1,0,0,fast
2,AB,"Kp, Qc",0.5,0,2,2,0.07 mm,S,3,three months,9.335,R1,13.76,5.605,8.155,1.18,12.64059989,10.65700125,87.35940011,0.873594001,0.126405999,0,0,1,mixture
2,AB,"Kp, Qc",0.5,0,2,2,0.07 mm,S,6,six months,9.335,R1,13.7,5.605,8.095,1.24,13.28334226,13.65899442,86.71665774,0.867166577,0.132833423,0,0,1,mixture
2,AB,"Kp, Qc",0.5,0,2,2,2.0 mm,M,1,one month,9.335,R1,14.3,5.605,8.695,0.64,6.855918586,9.535466547,93.14408141,0.931440814,0.068559186,0,0,1,mixture
2,AB,"Kp, Qc",0.5,0,2,2,2.0 mm,M,3,three months,9.335,R1,13.42,5.605,7.815,1.52,16.28280664,13.76760861,83.71719336,0.837171934,0.162828066,0,0,1,mixture
2,AB,"Kp, Qc",0.5,0,2,2,2.0 mm,M,6,six months,9.335,R1,13.07,5.605,7.465,1.87,20.03213712,21.85174306,79.96786288,0.799678629,0.200321371,0,0,1,mixture
2,AB,"Kp, Qc",0.5,0,2,2,5.0 mm,L,1,one month,9.335,R1,14.39,5.605,8.785,0.55,5.891805035,9.639094234,94.10819497,0.94108195,0.05891805,0,0,1,mixture
2,AB,"Kp, Qc",0.5,0,2,2,5.0 mm,L,3,three months,9.335,R1,13.65,5.605,8.045,1.29,13.8189609,12.21196103,86.1810391,0.861810391,0.138189609,0,0,1,mixture
2,AB,"Kp, Qc",0.5,0,2,2,5.0 mm,L,6,six months,9.335,R1,12.64,5.605,7.035,2.3,24.63845742,20.35624883,75.36154258,0.753615426,0.246384574,0,0,1,mixture
3,ABC,"Kp, Qc, Lf",0.33,0,3,3,0.07 mm,S,1,one month,9.415,R1,13.99,5.605,8.385,1.03,10.93998938,10.34042824,89.06001062,0.890600106,0.109399894,0,0,1,mixture
3,ABC,"Kp, Qc, Lf",0.33,0,3,3,0.07 mm,S,3,three months,9.415,R1,13.5,5.605,7.895,1.52,16.14445035,13.70674859,83.85554965,0.838555497,0.161444504,0,0,1,mixture
3,ABC,"Kp, Qc, Lf",0.33,0,3,3,0.07 mm,S,6,six months,9.415,R1,N/A,N/A,N/A,N/A,N/A,16.64098013,N/A,N/A,N/A,0,0,1,mixture
3,ABC,"Kp, Qc, Lf",0.33,0,3,3,2.0 mm,M,1,one month,9.415,R1,13.65,5.605,8.045,1.37,14.55124801,11.09325326,85.44875199,0.85448752,0.14551248,0,0,1,mixture
3,ABC,"Kp, Qc, Lf",0.33,0,3,3,2.0 mm,M,3,three months,9.415,R1,13.29,5.605,7.685,1.73,18.37493362,15.49343983,81.62506638,0.816250664,0.183749336,0,0,1,mixture
3,ABC,"Kp, Qc, Lf",0.33,0,3,3,2.0 mm,M,6,six months,9.415,R1,12.21,5.605,6.605,2.81,29.84599044,22.74866832,70.15400956,0.701540096,0.298459904,0,0,1,mixture
3,ABC,"Kp, Qc, Lf",0.33,0,3,3,5.0 mm,L,1,one month,9.415,R1,N/A,N/A,N/A,N/A,N/A,10.44472088,N/A,N/A,N/A,0,0,1,mixture
3,ABC,"Kp, Qc, Lf",0.33,0,3,3,5.0 mm,L,3,three months,9.415,R1,N/A,N/A,N/A,N/A,N/A,15.3892442,N/A,N/A,N/A,0,0,1,mixture
3,ABC,"Kp, Qc, Lf",0.33,0,3,3,5.0 mm,L,6,six months,9.415,R1,N/A,N/A,N/A,N/A,N/A,23.18690719,N/A,N/A,N/A,0,0,1,mixture
4,ABCD,"Kp, Qc, Lf, Pm",0.5,0.25,4,4,0.07 mm,S,1,one month,9.405,R1,15.06,5.605,9.455,-0.05,-0.531632111,8.293244798,100.5316321,1.005316321,-0.005316321,0,0,1,mixture
4,ABCD,"Kp, Qc, Lf, Pm",0.5,0.25,4,4,0.07 mm,S,3,three months,9.405,R1,13.75,5.605,8.145,1.26,13.39712919,12.40485972,86.60287081,0.866028708,0.133971292,0,0,1,mixture
4,ABCD,"Kp, Qc, Lf, Pm",0.5,0.25,4,4,0.07 mm,S,6,six months,9.405,R1,13.35,5.605,7.745,1.66,17.65018607,13.47589379,82.34981393,0.823498139,0.176501861,0,0,1,mixture
4,ABCD,"Kp, Qc, Lf, Pm",0.5,0.25,4,4,2.0 mm,M,1,one month,9.405,R1,14.32,5.605,8.715,0.69,7.336523126,8.394939949,92.66347687,0.926634769,0.073365231,0,0,1,mixture
4,ABCD,"Kp, Qc, Lf, Pm",0.5,0.25,4,4,2.0 mm,M,3,three months,9.405,R1,N/A,N/A,N/A,N/A,N/A,14.12142468,N/A,N/A,N/A,0,0,1,mixture
